FIPS,Yield,Year,Land_Area,Acres_Planted
01047,43.1,2018,978.69,7300
01051,43.9,2018,618.48,900
01105,38.5,2018,719.66,5600
01119,44.1,2018,903.89,1500
01003,46.6,2018,1589.78,9700
01009,40.3,2018,644.78,3100
01019,46.4,2018,553.7,6000
01043,45.7,2018,734.84,9100
01049,51.2,2018,777.09,14700
01071,40,2018,1077.87,31200
01095,37.1,2018,565.84,7600
01033,37.1,2018,592.62,25000
01059,38.5,2018,633.82,6100
01077,36.3,2018,667.7,24400
01079,40.4,2018,690.68,33200
01083,44.4,2018,559.94,54000
01089,39.2,2018,801.59,37500
01057,27.1,2018,627.66,1500
01121,39.2,2018,736.78,6200
01125,47.6,2018,1321.75,3800
01127,39.6,2018,791.19,900
01069,29.2,2018,579.82,2400
05029,37.6,2018,552.25,20100
05045,43.3,2018,647.88,7600
05119,44.3,2018,759.76,22300
05001,60.4,2018,988.77,172800
05037,53.5,2018,616.38,152000
05077,45,2018,602.62,139600
05095,48,2018,607.12,98500
05107,51.2,2018,695.66,207500
05117,54.3,2018,647.96,103500
05123,46.5,2018,634.77,151000
05147,46.3,2018,586.79,129500
05021,51.3,2018,639.46,110000
05031,50.5,2018,707.21,97000
05055,42.1,2018,577.7,73800
05067,40.5,2018,633.94,121500
05075,41,2018,587.61,62300
05093,51.1,2018,900.57,270100
05111,57,2018,758.39,178700
05003,55.9,2018,925.35,57500
05017,52.8,2018,644.3,166000
05041,60.4,2018,768.15,181700
05043,57.6,2018,828.36,39400
05069,57,2018,870.75,110000
05079,56.1,2018,561.52,70400
10001,40.8,2018,586.18,66700
10003,46.2,2018,426.29,22900
10005,41.8,2018,936.08,80400
13225,27.3,2018,150.27,2200
13107,30.2,2018,680.6,2400
13163,38.7,2018,526.48,6100
13165,32.9,2018,347.28,500
13105,46.2,2018,351.06,2800
13147,41.6,2018,232.39,4300
13221,35.5,2018,439.01,1100
13055,37.6,2018,313.34,1000
13071,44.1,2018,544.15,1100
13177,36,2018,355.78,1700
13205,42.2,2018,512.08,1300
13243,49.8,2018,428.24,4500
13253,39.2,2018,235.23,1900
13275,46.6,2018,544.6,1700
17039,76.7,2018,397.51,102000
17107,71.8,2018,618.06,156000
17115,77,2018,580.69,133000
17123,67.1,2018,386.79,83000
17113,69.1,2018,1183.38,312000
17129,70.2,2018,314.44,71000
17143,68.1,2018,619.21,88000
17179,73.8,2018,648.97,130000
17203,66.2,2018,527.8,120000
17019,69.5,2018,996.27,257000
17053,62.1,2018,485.62,134000
17075,56.6,2018,1117.32,297000
17091,55.5,2018,676.56,141000
17105,62.4,2018,1044.29,284000
17147,79.2,2018,439.2,128000
17183,73.4,2018,898.37,216000
17023,65.6,2018,501.42,99000
17025,59.9,2018,468.32,117000
17029,76.7,2018,508.29,121000
17033,64.5,2018,443.63,97000
17035,68.8,2018,346.02,80000
17041,80,2018,416.66,115000
17045,71.2,2018,623.37,165000
17049,73.9,2018,478.78,101000
17051,60.9,2018,716.48,156000
17079,62.2,2018,494.51,127000
17101,55.4,2018,372.18,91000
17121,62,2018,572.36,120000
17139,77.7,2018,335.94,83000
17159,57.6,2018,359.99,90000
17173,72.1,2018,758.52,178000
17007,61.8,2018,280.72,50000
17037,62.6,2018,631.31,118000
17063,59.9,2018,418.04,93000
17089,60.2,2018,520.06,59000
17093,62.3,2018,320.34,61000
17099,68.6,2018,1135.12,258000
17097,42.2,2018,443.67,9000
17111,60.3,2018,603.17,64000
17197,59.2,2018,836.91,109000
17011,70.1,2018,869.03,157000
17015,70.6,2018,444.81,44000
17073,64.7,2018,822.99,174000
17103,65.3,2018,724.9,136000
17131,64.7,2018,561.2,105000
17141,65.8,2018,758.57,116000
17161,61.9,2018,427.64,51000
17177,64.8,2018,564.52,82000
17195,64.2,2018,684.25,94000
17201,57.7,2018,513.36,55000
17047,45.2,2018,222.42,52000
17055,48.7,2018,408.89,88000
17059,51.2,2018,323.07,79000
17065,52.5,2018,434.67,99000
17069,44.6,2018,177.53,6000
17081,52.6,2018,571.17,110000
17165,50.5,2018,379.82,67000
17191,54.1,2018,713.81,171000
17193,54.2,2018,494.77,133000
17027,61.6,2018,474.09,109000
17077,50,2018,584.08,96000
17133,55.4,2018,385.01,84000
17145,53.7,2018,441.76,97000
17153,49.4,2018,199.18,47000
17157,53.3,2018,575.5,118000
17163,57.3,2018,657.76,113000
17189,58.8,2018,562.57,159000
17199,46.8,2018,420.15,37000
17001,60.7,2018,855.2,142000
17009,61.7,2018,305.61,37000
17057,63.9,2018,865.59,128000
17067,71.5,2018,793.73,151000
17071,61.6,2018,378.87,59000
17095,65.6,2018,716.39,128000
17109,71,2018,589.41,123000
17169,61.2,2018,437.27,59000
17187,69.1,2018,542.41,122000
17005,68.6,2018,380.28,88000
17013,60,2018,253.82,27000
17017,73.6,2018,375.82,61000
17021,75.3,2018,709.38,191000
17061,71.8,2018,543.02,107000
17117,71.3,2018,862.91,176000
17119,63.9,2018,715.58,122000
17135,74.7,2018,703.69,161000
17137,81.6,2018,568.79,126000
17149,62.7,2018,831.38,130000
17167,82.3,2018,868.3,192000
18005,56.5,2018,406.91,72100
18011,62.2,2018,422.91,1e+05
18023,66.3,2018,405.07,111500
18031,63.9,2018,372.57,81400
18053,60.4,2018,414.07,109500
18057,63.8,2018,394.27,64300
18059,58.1,2018,306.02,77000
18063,61.2,2018,406.91,71500
18067,63.6,2018,293.06,69800
18095,61.6,2018,451.92,103500
18109,57.9,2018,403.97,46100
18139,58.9,2018,408.12,106000
18145,56.9,2018,411.15,98600
18009,58.3,2018,165.08,47200
18035,58,2018,392.12,92600
18041,57.9,2018,215.01,37000
18065,57.9,2018,391.88,92400
18075,60.5,2018,383.91,1e+05
18135,59.1,2018,452.38,117000
18161,60.8,2018,161.22,33400
18177,60.2,2018,401.74,72400
18015,65,2018,372.22,88800
18017,62.8,2018,412.15,85700
18039,58.5,2018,463.17,39800
18049,58.5,2018,368.39,68700
18085,61.6,2018,531.38,88200
18099,54.2,2018,443.63,69100
18103,55.9,2018,373.84,90100
18141,55.3,2018,457.85,51500
18169,60.2,2018,412.43,94100
18001,61.8,2018,339.03,85000
18003,59.6,2018,657.31,106500
18033,50.5,2018,362.82,76200
18069,59.8,2018,382.65,99500
18087,54.2,2018,379.62,36000
18113,52.9,2018,410.84,63500
18151,48.1,2018,308.94,37800
18179,62.4,2018,368.09,104000
18183,56.1,2018,335.57,66500
18007,67.5,2018,406.42,114500
18073,57.7,2018,559.62,100500
18091,59.2,2018,598.3,87800
18089,56.6,2018,498.96,50600
18111,59.9,2018,401.76,79300
18127,60.6,2018,418.15,56100
18131,55.3,2018,433.65,80700
18149,54.7,2018,309.13,41500
18181,61.3,2018,505.12,116000
18025,48.7,2018,305.64,7100
18061,52.5,2018,484.52,37000
18071,52.1,2018,509.31,76400
18093,53.4,2018,449.17,28200
18105,45.6,2018,394.51,7900
18117,56.7,2018,398.39,22600
18123,45.8,2018,381.73,16000
18175,53.2,2018,513.73,62100
18019,50.7,2018,372.86,33900
18029,55.1,2018,305.03,12700
18047,60,2018,384.43,39700
18077,49.1,2018,360.63,49300
18079,55.9,2018,376.58,60700
18115,50.8,2018,86.14,3900
18137,51.9,2018,446.43,67000
18143,50.4,2018,190.4,22600
18155,48.4,2018,220.63,9200
18027,55.2,2018,429.49,63600
18037,59.9,2018,427.27,53700
18051,57.3,2018,487.49,98000
18055,54.1,2018,542.49,53100
18083,53.4,2018,516.03,120000
18129,55.3,2018,409.57,87100
18147,52,2018,396.74,67600
18153,56.4,2018,447.14,81800
18163,56.4,2018,233.48,30700
18173,50.5,2018,384.82,45000
18021,53.7,2018,357.54,70000
18107,64.9,2018,504.61,117000
18121,57.4,2018,444.66,67900
18133,58.4,2018,480.53,73000
18157,64.2,2018,499.81,94900
18165,61.3,2018,256.88,42100
18167,52.4,2018,403.31,58100
18171,67.6,2018,364.68,78600
19015,55.7,2018,571.57,111500
19049,54,2018,588.45,103500
19075,63.3,2018,501.86,125000
19079,49.5,2018,576.75,117000
19083,60.6,2018,569.31,102500
19099,62,2018,730.42,143500
