Types,TraitX,TraitY,TraitZ
L/J,6.49,5.08,6.53
P/Z,6.36,5.02,6.51
E/G,6.51,5.13,6.66
A/V,6.42,4.97,6.81
C/A,6.12,4.87,6.21
A/F,6.27,4.99,6.36
U/P,6.18,4.82,6.51
O/N,6.16,4.93,6.37
I/M,6.07,4.77,6.52
Y/O,6.23,4.89,6.66
R/D,6.05,4.58,6.52
M/H,6.28,4.72,6.47
H/G,6.07,4.74,6.61
U/D,6.26,4.61,6.56
N/B,6.23,4.71,6.84
A/E,6.18,4.96,7.02
V/I,6.15,4.75,6.78
Y/P,5.97,4.86,6.44
E/Q,6.03,4.89,6.86
H/M,6.36,4.7,6.9
M/C,6.29,4.6,6.73
L/I,6.2,4.74,6.77
R/U,5.76,4.73,6.34
P/R,6.14,4.71,6.8
S/R,6,4.96,7.08
E/G,5.85,4.61,6.44
Y/M,5.85,4.58,6.51
V/P,6.23,4.66,6.98
G/M,5.98,4.79,6.54
G/W,6.23,4.82,6.89
U/P,6.17,4.61,6.64
S/A,6,4.65,6.4
O/G,6.22,4.75,6.69
F/Q,6.1,4.63,6.7
Y/I,5.76,4.6,6.44
X/S,6.07,4.65,6.5
I/W,6.35,4.77,6.21
D/B,6.28,4.63,6.27
K/J,6.07,4.67,6.33
N/D,6.32,4.74,6.1
N/L,5.96,4.71,6.47
D/U,6.46,4.69,6.39
H/R,6.25,4.71,6.53
Y/T,6.43,4.57,6.48
X/L,6.4,4.67,6.76
I/H,6.36,4.93,6.94
Z/T,6.32,4.72,6.7
O/U,6.14,4.83,6.37
S/O,6.21,4.86,6.79
F/Q,6.53,4.66,6.82
Y/M,6.46,4.57,6.65
Y/R,6.38,4.7,6.7
S/D,5.93,4.69,6.26
E/J,6.32,4.68,6.72
O/Q,6.17,4.92,7
H/Z,6.02,4.57,6.37
Y/H,6.03,4.54,6.43
O/E,6.4,4.62,6.91
B/A,6.15,4.76,6.47
M/L,6.4,4.78,6.81
O/K,6.34,4.58,6.56
F/V,6.18,4.62,6.32
O/Z,6.4,4.72,6.61
U/E,6.28,4.59,6.62
V/C,5.93,4.56,6.36
I/T,6.25,4.61,6.43
T/K,6.52,4.74,6.13
G/B,6.45,4.59,6.19
F/G,6.25,4.64,6.25
T/R,6.49,4.71,6.02
Y/L,6.13,4.67,6.39
L/O,6.46,4.84,6.49
Y/Z,6.65,4.71,6.44
Y/X,6.62,4.8,6.72
K/L,6.57,5.06,6.9
R/Q,6.54,4.85,6.67
N/E,6.36,4.96,6.33
Y/T,6.42,4.99,6.75
R/O,6.75,4.8,6.78
I/B,6.67,4.7,6.61
Z/P,6.59,4.83,6.66
Y/U,6.15,4.83,6.22
R/V,6.53,4.81,6.68
Q/K,6.39,5.05,6.97
R/B,6.24,4.7,6.33
M/P,6.24,4.67,6.39
M/A,6.62,4.76,6.87
E/L,6.37,4.89,6.43
Q/L,6.61,4.91,6.77
Q/M,6.56,4.71,6.52
G/E,6.39,4.75,6.29
K/U,6.61,4.85,6.57
P/E,6.49,4.72,6.58
N/A,6.15,4.69,6.32
T/U,6.46,4.74,6.39
L/Z,6.73,4.87,6.1
R/I,6.67,4.72,6.16
Z/U,6.46,4.77,6.21
I/K,6.71,4.84,5.99
Y/Y,6.34,4.8,6.36
B/Y,6.45,4.73,6.59
M/K,6.42,4.82,6.87
H/X,6.37,5.08,7.05
W/U,6.34,4.87,6.81
I/M,6.16,4.98,6.48
S/B,6.22,5.01,6.9
B/I,6.55,4.82,6.93
E/P,6.47,4.72,6.76
A/E,6.39,4.85,6.81
P/K,5.95,4.85,6.37
Z/Y,6.33,4.83,6.83
M/S,6.19,5.07,7.11
F/W,6.04,4.72,6.48
S/I,6.04,4.69,6.54
P/R,6.42,4.78,7.02
I/K,6.17,4.91,6.58
S/E,6.41,4.94,6.92
U/W,6.36,4.73,6.67
A/H,6.19,4.77,6.43
H/O,6.41,4.87,6.72
F/H,6.29,4.75,6.73
K/E,5.95,4.71,6.47
F/K,6.26,4.76,6.54
Z/C,6.54,4.89,6.24
A/U,6.47,4.74,6.3
P/M,6.26,4.79,6.36
K/T,6.51,4.86,6.14
N/Z,6.14,4.83,6.5
G/D,6.56,4.96,7.01
A/Y,6.53,4.75,6.77
I/B,6.35,4.86,6.43
T/O,6.41,4.89,6.85
P/O,6.74,4.7,6.89
Q/X,6.66,4.6,6.71
Q/A,6.58,4.73,6.76
T/V,6.14,4.73,6.33
S/R,6.52,4.71,6.79
E/E,6.38,4.95,7.07
J/L,6.23,4.6,6.43
I/C,6.23,4.58,6.49
B/L,6.61,4.66,6.97
P/X,6.36,4.79,6.53
F/C,6.6,4.82,6.88
E/L,6.55,4.61,6.63
W/B,6.38,4.65,6.39
J/W,6.6,4.75,6.68
E/A,6.14,4.59,6.43
R/Y,6.45,4.64,6.49
A/O,6.72,4.77,6.2
W/C,6.66,4.63,6.26
X/B,6.45,4.67,6.31
W/U,6.7,4.74,6.09
D/K,6.33,4.71,6.46
B/N,6.53,5.06,7.29
R/B,6.49,4.85,7.06
F/J,6.31,4.96,6.72
G/Z,6.38,4.99,7.14
W/F,6.7,4.8,7.17
C/B,6.63,4.7,7
V/Y,6.55,4.83,7.05
L/T,6.11,4.83,6.61
F/A,6.49,4.81,7.07
O/N,6.34,5.05,7.36
M/H,6.19,4.7,6.72
K/B,6.2,4.68,6.78
B/K,6.57,4.76,7.26
O/I,6.32,4.89,6.82
W/X,6.57,4.92,7.16
S/Y,6.51,4.71,6.91
G/D,6.35,4.75,6.68
G/A,6.57,4.85,6.96
Q/N,6.1,4.69,6.71
T/M,6.42,4.74,6.78
N/O,6.69,4.87,6.49
Y/X,6.62,4.73,6.55
O/K,6.42,4.77,6.6
G/G,6.66,4.84,6.38
W/L,6.3,4.81,6.75
Q/S,6.46,5.1,7.18
F/D,6.28,5.2,6.84
P/E,6.67,5.04,7.29
I/F,6.6,4.95,7.12
L/M,6.52,5.08,7.17
J/Y,6.07,5.07,6.74
Y/J,6.46,5.05,7.2
J/O,6.16,4.95,6.84
O/R,6.17,4.92,6.9
L/W,6.54,5,7.38
W/S,6.29,5.13,6.94
Q/X,6.54,5.16,7.28
K/F,6.48,4.95,7.04
Z/A,6.32,5,6.8
R/T,6.54,5.09,7.09
S/O,6.42,4.97,7.09
G/A,6.07,4.94,6.84
O/A,6.39,4.99,6.9
D/Y,6.66,5.11,6.61
L/G,6.59,4.97,6.67
O/Z,6.39,5.02,6.72
J/G,6.63,5.08,6.5
J/O,6.27,5.05,6.87
L/B,6.24,5,6.62
A/X,6.31,5.03,7.04
X/B,6.63,4.84,7.08
S/A,6.56,4.74,6.9
H/N,6.03,4.87,6.52
P/H,6.27,5.1,7.26
I/I,6.12,4.75,6.62
T/L,6.13,4.72,6.68
J/Y,6.5,4.8,7.16
U/H,6.25,4.93,6.72
L/J,6.5,4.96,7.07
I/O,6.44,4.75,6.82
B/L,6.28,4.79,6.58
R/Q,6.49,4.89,6.87
T/R,6.38,4.77,6.87
D/W,6.03,4.74,6.62
I/Z,6.34,4.79,6.68
B/U,6.62,4.91,6.39
P/I,6.55,4.77,6.45
G/C,6.35,4.81,6.5
T/C,6.59,4.88,6.28
R/V,6.1,5.13,6.74
Q/H,6.43,4.94,6.77
K/B,6.35,4.84,6.6
Q/B,6.27,4.97,6.65
L/J,5.83,4.96,6.21
A/N,6.21,4.95,6.67
A/F,6.07,5.19,6.95
T/R,5.91,4.84,6.32
M/T,5.92,4.81,6.38
U/E,6.3,4.89,6.86
Y/C,6.05,5.03,6.42
A/H,6.29,5.05,6.76
I/Y,6.23,4.85,6.51
H/I,6.07,4.89,6.27
E/G,6.29,4.99,6.56
E/O,6.17,4.86,6.57
K/T,5.83,4.83,6.31
T/G,6.14,4.88,6.38
N/N,6.41,5.01,6.08
J/V,6.34,4.86,6.14
W/J,6.14,4.91,6.2
A/J,6.38,4.98,5.98
C/F,6.02,4.94,6.34
I/Q,6.51,4.97,7.15
V/V,6.44,4.88,6.98
I/D,6.36,5.01,7.02
Z/H,5.91,5,6.59
U/M,6.3,4.98,7.05
D/V,6,4.88,6.69
R/C,6.01,4.85,6.76
A/L,6.38,4.93,7.24
X/O,6.13,5.06,6.8
M/C,6.38,5.09,7.14
E/Y,6.32,4.88,6.89
P/O,6.16,4.93,6.65
I/O,6.38,5.02,6.94
J/Q,6.26,4.9,6.95
P/J,5.91,4.87,6.69
V/T,6.23,4.92,6.75
T/F,6.5,5.04,6.46
P/S,6.43,4.9,6.52
W/N,6.23,4.94,6.58
J/T,6.47,5.01,6.35
X/T,6.11,4.98,6.72
D/L,6.68,4.81,7.09
J/E,6.24,4.81,6.65
A/D,6.62,4.79,7.11
U/F,6.48,5.03,7.39
A/C,6.32,4.68,6.76
X/S,6.33,4.66,6.82
F/Y,6.7,4.74,7.3
C/F,6.46,4.87,6.86
